"actors","count"
"Anupam Kher","40"
"Shah Rukh Khan","34"
"Naseeruddin Shah","31"
"Akshay Kumar","29"
"Om Puri","29"
"Amitabh Bachchan","28"
"Paresh Rawal","28"
"Boman Irani","27"
"Kareena Kapoor","25"
"Ajay Devgn","21"
